review_type,category,file,case_id,title,scene_id,scene_title,scene_type,reason
人体図,cardiovascular,cases\cardiovascular\case_acute_heart_failure_pulmonary_congestion_observation_001.json,acute_heart_failure_pulmonary_congestion_observation_001,呼吸困難を訴える高齢女性、頸静脈怒張と両肺ラ音から急性心不全を疑う症例,scene3,観察場所の選択,observation_select,visible_data.body_regions/body_map_template または人体図mediaあり
記述・自由入力,cardiovascular,cases\cardiovascular\case_cardiac_arrest_acs_001.json,case_cardiac_arrest_acs_001,胸痛後に心室細動となり心拍再開した心肺停止傷病者,scene6,場面 6,short_answer,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,cardiovascular,cases\cardiovascular\case_cardiovascular_acute_heart_failure_pulmonary_edema_001.json,case_cardiovascular_acute_heart_failure_pulmonary_edema_001,急性心不全による肺水腫が疑われる呼吸困難,scene7,場面 7,short_answer,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,cardiovascular,cases\cardiovascular\case_cardiovascular_ecg_artifact_sweating_001.json,case_cardiovascular_ecg_artifact_sweating_001,胸痛と著明な発汗を伴う心電図アーチファクト疑い,scene6,病院連絡,free_text,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,cardiovascular,cases\cardiovascular\case_cardiovascular_myocarditis_bradyarrhythmia_position_001.json,case_cardiovascular_myocarditis_bradyarrhythmia_position_001,高熱後に胸痛・呼吸困難と徐脈性不整脈を呈した心筋炎疑い症例,scene6,病院連絡,free_text,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,cardiovascular,cases\cardiovascular\case_cardiovascular_pulmonary_embolism_bus_travel_001.json,case_cardiovascular_pulmonary_embolism_bus_travel_001,長時間移動後に突然の呼吸困難を呈した高齢男性,scene6,病院連絡,free_text,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,cardiovascular,cases\cardiovascular\case_cardiovascular_torsades_cpa_001.json,case_cardiovascular_torsades_cpa_001,胸部不快感後にトルサード・ド・ポワント様波形でCPAとなった症例,scene5,急変直後の評価,free_text,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,endocrine_metabolic,cases\cardiovascular\case_cardiovascular_transient_coronary_flow_obstruction_ecg_001.json,case_endocrine_metabolic_vitamin_b1_deficiency_alcohol_001,低栄養と飲酒歴を背景に動けなくなった男性,scene7,搬送判断と病院連絡,template_select,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,cardiovascular,cases\cardiovascular\case_facility_cpa_waveform_change_pulse_check_001.json,facility_cpa_waveform_change_pulse_check_001,介護施設で突然卒倒した高齢者CPAで、波形変化後にROSCを見抜く症例,scene7,ROSC後の病院連絡,template_select,free_text/dialogue_input相当、または選択肢なし＋記述系文言
人体図,cardiovascular,cases\cardiovascular\case_mitral_stenosis_pulmonary_congestion_hemoptysis_001.json,mitral_stenosis_pulmonary_congestion_hemoptysis_001,僧帽弁狭窄症と心房細動を背景に、泡沫状血性痰から肺うっ血を疑う症例,scene4,人体図による追加観察,observation_points,visible_data.body_regions/body_map_template または人体図mediaあり
人体図,cardiovascular,cases\cardiovascular\case_pulmonary_embolism_dvt_oac_boss_001.json,pulmonary_embolism_dvt_oac_boss_001,階段昇降後の突然の呼吸困難から肺血栓塞栓症を疑う症例,scene4,人体図による追加観察,observation_points,visible_data.body_regions/body_map_template または人体図mediaあり
記述・自由入力,cardiovascular,cases\cardiovascular\case_pulmonary_embolism_dvt_oac_boss_001.json,pulmonary_embolism_dvt_oac_boss_001,階段昇降後の突然の呼吸困難から肺血栓塞栓症を疑う症例,scene6,病院連絡,free_text,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,endocrine_metabolic,cases\endocrine_metabolic\case_endocrine_metabolic_vitamin_b1_deficiency_alcohol_001.json,case_endocrine_metabolic_vitamin_b1_deficiency_alcohol_001,低栄養と飲酒歴を背景に動けなくなった男性,scene_7,搬送判断と病院連絡,template_select,free_text/dialogue_input相当、または選択肢なし＋記述系文言
人体図,gastrointestinal,cases\gastrointestinal\case_ischemic_colitis_left_abdominal_pain_001.json,ischemic_colitis_left_abdominal_pain_001,左側腹部から下腹部痛と血性下痢から結腸病変を疑う症例,scene4,人体図による腹部観察,observation_points,visible_data.body_regions/body_map_template または人体図mediaあり
記述・自由入力,gastrointestinal,cases\gastrointestinal\case_mallory_weiss_hematemesis_shock_iv_request_001.json,mallory_weiss_hematemesis_shock_iv_request_001,大量飲酒後の反復嘔吐と吐血からMallory-Weiss症候群を疑い、ショック輸液の指示要請を行う症例,scene4,対話式・特定行為指示要請,dialogue,free_text/dialogue_input相当、または選択肢なし＋記述系文言
人体図,neuro,cases\neuro\case_elvo_screen_af_stroke_thrombectomy_001.json,elvo_screen_af_stroke_thrombectomy_001,発症早期の片麻痺と半側空間無視から大血管閉塞を疑い、血栓回収療法対応施設へ搬送する症例,scene4,身体図による神経所見評価,observation_select,visible_data.body_regions/body_map_template または人体図mediaあり
記述・自由入力,neuro,cases\neuro\case_elvo_screen_af_stroke_thrombectomy_001.json,elvo_screen_af_stroke_thrombectomy_001,発症早期の片麻痺と半側空間無視から大血管閉塞を疑い、血栓回収療法対応施設へ搬送する症例,scene7,対話型病院連絡,dialogue,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,neuro,cases\neuro\case_neuro_acute_stroke_facility_chopsticks_001.json,case_neuro_acute_stroke_facility_chopsticks_001,施設入所中に右手機能低下を呈した高齢男性,scene6,医療機関連絡,free_text,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,neuro,cases\neuro\case_neuro_encephalitis_altered_mental_status_001.json,case_neuro_encephalitis_altered_mental_status_001,発熱を伴う意識変容と左上肢脱力,scene2,初期評価,free_text,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,neuro,cases\neuro\case_neuro_encephalitis_altered_mental_status_001.json,case_neuro_encephalitis_altered_mental_status_001,発熱を伴う意識変容と左上肢脱力,scene7,搬送判断と病院連絡,template_select,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,neuro,cases\neuro\case_neuro_stroke_af_001.json,case_neuro_stroke_af_001,構音障害とめまいを伴う心房細動合併脳卒中疑い,scene6,評価とファーストコール,free_text,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,psychiatric,cases\psychiatric\case_psychiatric_dissociative_amnesia_001.json,case_psychiatric_dissociative_amnesia_001,強い心理的ストレス後に発症した解離性健忘疑い,scene1,通報内容と出場準備,free_text,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,psychiatric,cases\psychiatric\case_psychiatric_gas_suicide_001.json,psychiatric_gas_suicide_001,浴室内のガス発生が疑われる自殺企図傷病者,scene2,現場初期評価,free_text,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,psychiatric,cases\psychiatric\case_psychiatric_gas_suicide_001.json,psychiatric_gas_suicide_001,浴室内のガス発生が疑われる自殺企図傷病者,scene7,病院連絡,template_select,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,reproductive_obstetric,cases\reproductive_obstetric\case_pregnant_choking_back_blows_001.json,reproductive_obstetric_pregnant_choking_back_blows_001,妊娠34週の気道異物で完全閉塞を判断し背部叩打を行う症例,scene1,通報内容とプレアライバルコール,dialogue_input,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,reproductive_obstetric,cases\reproductive_obstetric\case_reproductive_obstetric_prehospital_delivery_newborn_warmth_001.json,case_reproductive_obstetric_prehospital_delivery_newborn_warmth_001,玄関内で児が娩出された妊娠36週の女性,scene4,出生直後のリスク評価,free_text,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,reproductive_obstetric,cases\reproductive_obstetric\case_reproductive_obstetric_prehospital_delivery_newborn_warmth_001.json,case_reproductive_obstetric_prehospital_delivery_newborn_warmth_001,玄関内で児が娩出された妊娠36週の女性,scene7,搬送と申し送り,template_select,free_text/dialogue_input相当、または選択肢なし＋記述系文言
人体図,respiratory,cases\respiratory\case_airway_foreign_body_inspiratory_stridor_001.json,case_airway_foreign_body_inspiratory_stridor_001,食事中の急な咳込みと吸気性喘鳴から上気道異物を疑う症例,scene1,出場指令：食事中に急に咳込み呼吸が荒くなった高齢男性,single_choice,visible_data.body_regions/body_map_template または人体図mediaあり
人体図,respiratory,cases\respiratory\case_hot_hypoventilation_bvm_management_001.json,hot_hypoventilation_bvm_management_001,在宅酸素療法中の慢性肺疾患患者で低換気を見抜き、BVM換気を優先する症例,scene4,処置選択,treatment_select,visible_data.body_regions/body_map_template または人体図mediaあり
記述・自由入力,respiratory,cases\respiratory\case_respiratory_anaphylaxis_child_wheezing_001.json,case_respiratory_anaphylaxis_child_wheezing_001,昼食後に呼吸苦を呈した小児,scene3,情報収集と要約,free_text,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,respiratory,cases\respiratory\case_respiratory_anaphylaxis_exercise_food_001.json,respiratory_anaphylaxis_exercise_food_001,食後運動後に発症したアナフィラキシー疑い,scene3,情報収集と要約,free_text,free_text/dialogue_input相当、または選択肢なし＋記述系文言
人体図,special_population,cases\special_population\case_child_abuse_suspected_delay_report_001.json,special_population_child_abuse_suspected_delay_report_001,ぐったりした1歳児の複数損傷から社会的リスクを疑い、情報収集と観察を行う症例,scene5,全身観察,body_map_select,visible_data.body_regions/body_map_template または人体図mediaあり
記述・自由入力,special_population,cases\special_population\case_special_population_sids_infant_cardiac_arrest_001.json,case_special_population_sids_infant_cardiac_arrest_001,就寝後に心肺停止で発見された乳児,scene7,搬送と申し送り,template_select,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,toxicology,cases\toxicology\case_malignant_syndrome_psychiatric_medication_fever_rigidity_001.json,malignant_syndrome_psychiatric_medication_fever_rigidity_001,高熱・振戦・筋強剛から悪性症候群を疑い服薬内容確認を優先する症例,scene3,家族への対話型情報収集,dialogue_input,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,toxicology,cases\toxicology\case_toxicology_amphetamine_001.json,toxicology_amphetamine_001,薬物乱用者の事情聴取中に反応低下を呈したアンフェタミン暴露疑い,scene6,病院連絡,template_select,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,toxicology,cases\toxicology\case_toxicology_morphine_respiratory_depression_001.json,toxicology_morphine_respiratory_depression_001,在宅緩和ケア中のモルヒネ増量後に意識低下を呈した症例,scene6,病院連絡,template_select,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,toxicology,cases\toxicology\case_toxicology_neuroleptic_malignant_syndrome_rhabdomyolysis_001.json,case_toxicology_neuroleptic_malignant_syndrome_rhabdomyolysis_001,新規向精神薬開始後に発熱・歩行不能・赤黒色尿を呈した高齢男性,scene7,搬送判断と申し送り,template_select,free_text/dialogue_input相当、または選択肢なし＋記述系文言
人体図,trauma,cases\trauma\case_crush_injury_steel_beam_rescue_001.json,trauma_crush_injury_steel_beam_rescue_001,鋼材の下敷きによる救助事案で圧挫症候群を疑い、救出前処置を判断する症例,scene3,身体部位の観察,body_map_select,visible_data.body_regions/body_map_template または人体図mediaあり
記述・自由入力,trauma,cases\trauma\case_elderly_head_injury_anticoagulant_refusal_001.json,elderly_head_injury_anticoagulant_refusal_001,高齢者頭部外傷で抗凝固薬内服を確認し搬送交渉を行う症例,scene3,本人・施設職員への対話式確認,dialogue,free_text/dialogue_input相当、または選択肢なし＋記述系文言
人体図,trauma,cases\trauma\case_fall_6m_pelvic_fracture_shock_prediction_001.json,trauma_fall_6m_pelvic_fracture_shock_prediction_001,6m墜落後、骨盤骨折によるショック進行を予測し骨盤固定を判断する症例,scene4,全身観察と国試の芯,single_choice,visible_data.body_regions/body_map_template または人体図mediaあり
人体図,trauma,cases\trauma\case_fall_from_rooftop_shock_whole_body_assessment_001.json,fall_from_rooftop_shock_whole_body_assessment_001,3階屋上からの墜落後、ショック徴候から全身観察を優先する症例,scene5,全身観察・人体図,single_choice,visible_data.body_regions/body_map_template または人体図mediaあり
人体図,trauma,cases\trauma\case_motorcycle_fall_brachial_plexus_avulsion_001.json,trauma_motorcycle_fall_brachial_plexus_avulsion_001,オートバイ転倒後、右肩周囲外傷と上肢症状から腕神経叢引き抜き損傷を疑う症例,scene4,全身観察,single_choice,visible_data.body_regions/body_map_template または人体図mediaあり
人体図,trauma,cases\trauma\case_open_chest_wound_right_pneumothorax_001.json,trauma_open_chest_wound_right_pneumothorax_001,ガラス戸で右胸部を受傷し、開放性胸部外傷への処置を判断する症例,scene4,全身観察と処置判断,single_choice,visible_data.body_regions/body_map_template または人体図mediaあり
記述・自由入力,trauma,cases\trauma\case_trauma_seatbelt_sign_intraabdominal_hemorrhage_001.json,trauma_seatbelt_sign_intraabdominal_hemorrhage_001,シートベルト痕を伴う高齢運転者の腹部外傷,scene7,申し送り,template_select,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,urinary,cases\urinary\case_urinary_acute_pyelonephritis_catheter_001.json,urinary_acute_pyelonephritis_catheter_001,尿道カテーテル留置中に発熱と悪寒・戦慄を呈した高齢男性,scene7,搬送判断と病院連絡,template_select,free_text/dialogue_input相当、または選択肢なし＋記述系文言
記述・自由入力,endocrine_metabolic,cases\urinary\case_urinary_ureteral_stone_left_flank_pain_001.json,endocrine_metabolic_vitamin_b1_deficiency_alcohol_001,低栄養と飲酒歴を背景に動けなくなった男性,scene7,搬送判断と病院連絡,template_select,free_text/dialogue_input相当、または選択肢なし＋記述系文言
